t1 t167 t154 t1 t3 ||| t1 t167 t154 t1 t3 ||| 0.5 0.0920845 0.666667 0.11674 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 4 3 2
t1 t167 t154 t1 ||| t1 t167 t154 t1 ||| 0.4 0.121501 1 0.15707 2.718 ||| 0-0 1-1 2-2 3-3 ||| 5 2 2
t1 t167 t163 t1 ||| t1 t167 t163 t1 ||| 1 0.0729796 1 0.0676657 2.718 ||| 0-0 1-1 2-2 3-3 ||| 2 2 2
t1 t167 t17 ||| t1 t167 t17 ||| 0.666667 0.15985 0.307692 0.181584 2.718 ||| 0-0 1-1 2-2 ||| 6 13 4
t1 t167 t278 t759 t29 tco t30 ||| t750 ||| 0.0208333 7.12408e-13 1 0.011236 2.718 ||| 3-0 ||| 96 2 2
t1 t167 t278 t759 t29 tco ||| t750 ||| 0.0208333 4.46788e-11 1 0.011236 2.718 ||| 3-0 ||| 96 2 2
t1 t167 t278 t759 t29 ||| t750 ||| 0.0208333 9.93633e-10 1 0.011236 2.718 ||| 3-0 ||| 96 2 2
t1 t167 t278 t759 ||| t750 ||| 0.0208333 1.72962e-08 1 0.011236 2.718 ||| 3-0 ||| 96 2 2
t1 t167 t29 t1501 t26 ||| t154 t29 t262 t26 ||| 0.0235294 6.95133e-08 0.666667 2.65432e-05 2.718 ||| 0-0 1-1 2-1 3-2 4-3 ||| 85 3 2
t1 t167 t3 t1501 ||| t154 t29 t262 ||| 0.0123457 6.15802e-08 1 4.14571e-06 2.718 ||| 0-0 2-1 3-2 ||| 162 2 2
t1 t167 t31 t328 t1 ||| t1 t167 t31 t328 t1 ||| 0.285714 0.031658 0.666667 0.0372564 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 7 3 2
t1 t167 t321 ||| t1 t167 t232 ||| 0.666667 0.00758477 0.125 0.000867178 2.718 ||| 0-0 1-1 2-2 ||| 3 16 2
t1 t167 t4 t1 t3 t29 ||| t1 t167 t4 t1 t3 t29 ||| 0.666667 0.0499426 0.666667 0.0666425 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 3 2
t1 t167 t4 t1 t3 t4 t1 ||| t1 t167 t4 t1 t3 t4 t1 ||| 0.25 0.0256172 0.666667 0.0345659 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 8 3 2
t1 t167 t4 t1 t3 t4 t2 ||| t1 t167 t4 t1 t3 t4 t2 ||| 1 0.0220238 1 0.0218673 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 2 2 2
t1 t167 t4 t1 t3 t76 ||| t1 t167 t4 t1 t3 t26 ||| 0.0333333 0.000962267 0.666667 0.0133166 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 60 3 2
t1 t167 t4 t1 t3 ||| t1 t167 t13 t30 t3 ||| 0.666667 0.00239619 0.0151515 0.000382802 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 132 2
